password3,
Date,Time,Layer #,Sub. Rot.,Sub. Rot. Speed,Sub. Z Height,C.M. Press.,VAT Press Mode,VAT Pos STPT,VAT Pos Mode,Gas#1 Flow,Gas#1 STPT,Gas#2 Flow,Gas#2 STPT,Gas#3 Flow,Gas#3 STPT,Sub. Temp.,Sub. Temp. STPT,RF#1 W Fbdk,RF#1 DC Bias,RF#1 Plasma,RF#1 Shutter,RF#1 TGT,RF#1 KWH,RF#1 STPT,RF#2 W Fbdk,RF#2 DC Bias,RF#2 Plasma,RF#2 Shutter,RF#2 TGT,RF#2 KWH,RF#2 STPT,RF#3 W Fbdk,RF#3 DC Bias,RF#3 Plasma,RF#3 Shutter,RF#3 TGT,RF#3 KWH,RF#3 STPT,DC#1 W Fdbk,DC#1 V Fdbk,DC#1 mA Fdbk,DC#1 Plasma,DC#1 Shutter,DC#1 TGT,DC#1 KWH,DC#1 STPT,DC#1 MODE,DC#2 W Fdbk,DC#2 V Fdbk,DC#2 mA Fdbk,DC#2 Plasma,DC#2 Shutter,DC#2 TGT,DC#2 KWH,DC#2 STPT,DC#2 MODE,DC#3 W Fdbk,DC#3 V Fdbk,DC#3 mA Fdbk,DC#3 Plasma,DC#3 Shutter,DC#3 TGT,DC#3 KWH,DC#3 STPT,DC#3 MODE,DC SWITCH POS,DC#5 W Fdbk,DC#5 V Fdbk,DC#5 mA Fdbk,DC#5 Plasma,DC#5 Shutter,DC#5 TGT,DC#5 KWH,DC#5 STPT,DC#5 MODE
05-Apr-25,5:23:58 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,161,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:00 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,161,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:03 PM,8,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:05 PM,8,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:07 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:09 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:11 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:13 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:15 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:17 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:19 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:21 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:23 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:25 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:28 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:30 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:32 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:34 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:36 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,417,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:38 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,417,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:40 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:42 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:44 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,419,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:46 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,419,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:49 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:51 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:53 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:55 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:57 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:24:59 PM,8,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:01 PM,8,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:03 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:05 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:07 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:09 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:11 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:14 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,419,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:16 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,419,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:18 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,417,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:20 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,417,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:22 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:24 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:26 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,393,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:29 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,393,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:31 PM,8,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,393,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:33 PM,8,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,417,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:35 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,417,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:37 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:39 PM,8,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:41 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,419,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:43 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,419,ON,Open,Ta,0.18,160,Watts
05-Apr-25,5:25:45 PM,8,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,18,0,0,0,OFF,Closed,100W MAX!,0.03,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,0.63,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,394,418,ON,Open,Ta,0.18,160,Watts
